-3 -3.49929e-08
-2.9912 -1.57048e-07
-2.9824 -2.2981e-07
-2.97361 -3.82698e-07
-2.96481 -2.43395e-07
-2.95601 -1.52261e-07
-2.94721 -3.38762e-07
-2.93842 -3.89236e-07
-2.92962 -3.39072e-07
-2.92082 -1.71087e-07
-2.91202 -4.49444e-08
-2.90323 1.50068e-07
-2.89443 1.9676e-07
-2.88563 2.87867e-07
-2.87683 3.85007e-07
-2.86804 2.64716e-07
-2.85924 3.30295e-07
-2.85044 3.4786e-07
-2.84164 3.15887e-07
-2.83284 2.82395e-07
-2.82405 3.95614e-07
-2.81525 1.23039e-07
-2.80645 1.58116e-07
-2.79765 2.04575e-07
-2.78886 2.40224e-07
-2.78006 2.66223e-07
-2.77126 1.82831e-07
-2.76246 -1.0122e-07
-2.75367 -2.42028e-07
-2.74487 -4.30381e-07
-2.73607 -3.02716e-07
-2.72727 -4.99017e-08
-2.71848 1.36002e-07
-2.70968 2.85696e-07
-2.70088 4.66867e-07
-2.69208 4.04879e-07
-2.68328 2.16346e-07
-2.67449 1.37043e-07
-2.66569 9.456e-08
-2.65689 2.56879e-07
-2.64809 3.48021e-07
-2.6393 3.41736e-07
-2.6305 1.58199e-07
-2.6217 -1.22409e-07
-2.6129 -1.80984e-07
-2.60411 -1.7672e-07
-2.59531 -1.01071e-07
-2.58651 -2.13716e-07
-2.57771 -1.80145e-07
-2.56892 -1.2185e-07
-2.56012 2.37263e-08
-2.55132 1.32051e-07
-2.54252 4.17092e-07
-2.53372 3.42243e-07
-2.52493 6.18315e-07
-2.51613 7.17907e-07
-2.50733 5.01258e-07
-2.49853 3.96634e-07
-2.48974 2.04073e-07
-2.48094 1.3463e-07
-2.47214 1.21455e-07
-2.46334 3.29663e-07
-2.45455 1.85645e-07
-2.44575 1.52773e-07
-2.43695 -7.53009e-08
-2.42815 -8.76779e-08
-2.41935 -4.26322e-08
-2.41056 -1.30031e-07
-2.40176 4.93303e-08
-2.39296 1.69504e-07
-2.38416 3.3929e-07
-2.37537 2.12523e-07
-2.36657 4.20538e-08
-2.35777 3.30488e-08
-2.34897 8.1467e-08
-2.34018 2.85594e-08
-2.33138 6.44885e-08
-2.32258 2.74715e-08
-2.31378 1.35709e-07
-2.30499 1.5787e-07
-2.29619 2.71307e-07
-2.28739 4.02195e-07
-2.27859 7.526e-07
-2.26979 7.44823e-07
-2.261 6.98454e-07
-2.2522 6.93922e-07
-2.2434 4.84604e-07
-2.2346 5.19775e-07
-2.22581 6.18645e-07
-2.21701 5.27239e-07
-2.20821 8.2701e-07
-2.19941 1.05655e-06
-2.19062 1.06969e-06
-2.18182 1.16743e-06
-2.17302 1.46482e-06
-2.16422 1.66352e-06
-2.15543 1.64595e-06
-2.14663 2.18489e-06
-2.13783 2.44658e-06
-2.12903 2.63166e-06
-2.12023 3.70548e-06
-2.11144 3.90509e-06
-2.10264 4.96719e-06
-2.09384 7.57872e-06
-2.08504 7.92517e-06
-2.07625 1.28413e-05
-2.06745 2.0773e-05
-2.05865 2.30484e-05
-2.04985 5.37009e-05
-2.04106 9.75545e-05
-2.03226 0.000135474
-2.02346 0.000972317
-2.01466 0.00471777
-2.00587 0.0128536
-1.99707 0.0235484
-1.98827 0.0325618
-1.97947 0.0373133
-1.97067 0.0387065
-1.96188 0.0389308
-1.95308 0.0391006
-1.94428 0.0392886
-1.93548 0.0394381
-1.92669 0.0395845
-1.91789 0.0397322
-1.90909 0.0398763
-1.90029 0.040027
-1.8915 0.0401784
-1.8827 0.0403269
-1.8739 0.0404824
-1.8651 0.0406357
-1.85631 0.0408009
-1.84751 0.0410144
-1.83871 0.0412007
-1.82991 0.0415262
-1.82111 0.0434144
-1.81232 0.049342
-1.80352 0.0601503
-1.79472 0.0728917
-1.78592 0.0829006
-1.77713 0.0880147
-1.76833 0.0896404
-1.75953 0.0901268
-1.75073 0.0905633
-1.74194 0.0910074
-1.73314 0.0914168
-1.72434 0.0918449
-1.71554 0.0923047
-1.70674 0.0927806
-1.69795 0.0932635
-1.68915 0.0937409
-1.68035 0.0942164
-1.67155 0.0947142
-1.66276 0.0952405
-1.65396 0.0957741
-1.64516 0.0962984
-1.63636 0.0968205
-1.62757 0.0973558
-1.61877 0.0979029
-1.60997 0.0984524
-1.60117 0.0990115
-1.59238 0.0995992
-1.58358 0.100223
-1.57478 0.100872
-1.56598 0.101531
-1.55718 0.102197
-1.54839 0.102878
-1.53959 0.103586
-1.53079 0.104328
-1.52199 0.105097
-1.5132 0.105874
-1.5044 0.106656
-1.4956 0.107465
-1.4868 0.108327
-1.47801 0.109244
-1.46921 0.110203
-1.46041 0.111188
-1.45161 0.11219
-1.44282 0.113211
-1.43402 0.114263
-1.42522 0.115359
-1.41642 0.116513
-1.40762 0.117733
-1.39883 0.119032
-1.39003 0.120413
-1.38123 0.121873
-1.37243 0.123408
-1.36364 0.125022
-1.35484 0.126729
-1.34604 0.128554
-1.33724 0.130515
-1.32845 0.132637
-1.31965 0.13496
-1.31085 0.137506
-1.30205 0.1403
-1.29326 0.143398
-1.28446 0.146862
-1.27566 0.150749
-1.26686 0.155242
-1.25806 0.160613
-1.24927 0.167066
-1.24047 0.175364
-1.23167 0.187963
-1.22287 0.207678
-1.21408 0.232926
-1.20528 0.255062
-1.19648 0.263657
-1.18768 0.255705
-1.17889 0.238122
-1.17009 0.220716
-1.16129 0.208401
-1.15249 0.200463
-1.1437 0.194672
-1.1349 0.189966
-1.1261 0.186129
-1.1173 0.18296
-1.1085 0.180239
-1.09971 0.177865
-1.09091 0.175776
-1.08211 0.173913
-1.07331 0.172254
-1.06452 0.170798
-1.05572 0.169526
-1.04692 0.168405
